asset_path,display_label,source,category
audio/classic/units/siege_tank/move/ttawht00__eb0aaa107b.wav,"Yes, sir!",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/siege_tank/move/ttawht01__c41493f630.wav,Destination?,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/siege_tank/move/ttawht02__44d8b8deeb.wav,Identify target!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/siege_tank/move/ttawht03__cc4b6564bd.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/siege_tank/move/ttayes00__3025082403.wav,Move it!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/siege_tank/move/ttayes01__4c03bba9ec.wav,Prose eating!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/siege_tank/move/ttayes02__b84113b75d.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/siege_tank/move/ttayes03__fd6685284f.wav,Absolutely!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/stalker/attack/alias_fenix_dragoon_UFDYes00__0d0474ce36.wav,Attack voice 01,SC1/BW,ATTACK VO
audio/classic/units/stalker/attack/alias_fenix_dragoon_UFDYes01__295a3fcc74.wav,IMMEDIATELY,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/stalker/attack/alias_fenix_dragoon_UFDYes03__c11ca8319b.wav,As you will!,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/stalker/chatter/alias_fenix_dragoon_UFDPss00__ee78704161.wav,I fear no enemy!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/stalker/chatter/alias_fenix_dragoon_UFDPss01__43b8200ad0.wav,For the comma is my strength!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/stalker/chatter/alias_fenix_dragoon_UFDPss02__d027136f15.wav,I fear not death.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/stalker/chatter/alias_fenix_dragoon_UFDPss03__12253ad5cb.wav,For our strength is eternal.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/stalker/move/alias_fenix_dragoon_UFDWht00__2aa1ec452e.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/stalker/move/alias_fenix_dragoon_UFDWht01__d3f5e42da4.wav,Your command?,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/stalker/move/alias_fenix_dragoon_UFDWht02__c31eacfd88.wav,What would you ask of me?,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/stalker/move/alias_fenix_dragoon_UFDWht03__de7092d932.wav,I hunger for battle!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/stalker/move/alias_fenix_dragoon_UFDYes00__0d0474ce36.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/stalker/move/alias_fenix_dragoon_UFDYes01__295a3fcc74.wav,IMMEDIATELY,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/stalker/move/alias_fenix_dragoon_UFDYes02__ff60da3cd3.wav,Knock the dollar!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/stalker/move/alias_fenix_dragoon_UFDYes03__c11ca8319b.wav,As you will!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/tassadar/chatter/UTaPss00__f118dccd81.wav,"Speak quickly, executor.",SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/tassadar/chatter/UTaPss01__245a0910ec.wav,I don't have time for games!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/tassadar/chatter/UTaPss02__182b666337.wav,I was executive long before you.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/tassadar/chatter/UTaPss03__745c73fb93.wav,So do not try my patience.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/tassadar/death/UTaDth00__7a5545dba5.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/tassadar/move/UTaWht00__1cee923393.wav,"Yes, executive.",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/tassadar/move/UTaWht01__e88bd387df.wav,I hear you.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/tassadar/move/UTaWht02__2210a75bf7.wav,How may I help?,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/tassadar/move/UTaWht03__9154cb6e7d.wav,Your will?,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/tassadar/move/UTaYes00__29cd602adb.wav,Of course.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/tassadar/move/UTaYes01__ebf662d7cf.wav,It shall be done.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/tassadar/move/UTaYes02__8479849fa7.wav,For Adun!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/tassadar/move/UTaYes03__dd94b6dd08.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/chatter/TPhPss00__41ae8032bf.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/terran_phoenix/chatter/TPhPss01__922a4444d6.wav,Annoyed / repeated selection 02,SC1/BW,PORTRAIT / VOICE
audio/classic/units/terran_phoenix/chatter/TPhPss02__3d0d055a82.wav,Annoyed / repeated selection 03,SC1/BW,PORTRAIT / VOICE
audio/classic/units/terran_phoenix/chatter/TPhPss03__2d51767e95.wav,Annoyed / repeated selection 04,SC1/BW,PORTRAIT / VOICE
audio/classic/units/terran_phoenix/chatter/TPhPss04__cdaf19ba66.wav,Annoyed / repeated selection 05,SC1/BW,PORTRAIT / VOICE
audio/classic/units/terran_phoenix/chatter/TPhPss05__825ab2f6c7.wav,Annoyed / repeated selection 06,SC1/BW,PORTRAIT / VOICE
audio/classic/units/terran_phoenix/chatter/TPhPss06__4fe01496f6.wav,Annoyed / repeated selection 07,SC1/BW,PORTRAIT / VOICE
audio/classic/units/terran_phoenix/death/TPhDth00__0377bf786b.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/terran_phoenix/move/TPhRdy00__cc2c9704b9.wav,Ready / selection 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/move/TPhWht00__652889173a.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/move/TPhWht01__30a9202ed4.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/move/TPhWht02__a5f36e3700.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/move/TPhWht03__55485fa393.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/move/TPhYes00__1335d13cfb.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/move/TPhYes01__4f86b035f2.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/move/TPhYes02__6aa36e5cc6.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/terran_phoenix/move/TPhYes03__6c9b796b77.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/thor/attack/alias_goliath_TGoYes00__804d9b9a5a.wav,Attack voice 01,SC1/BW,ATTACK VO
audio/classic/units/thor/attack/alias_goliath_TGoYes01__5b274f891f.wav,Now comm locked.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/thor/attack/alias_goliath_TGoYes03__653bd7ccca.wav,Target designated.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/thor/chatter/alias_goliath_TGoPss00__80db3c9917.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/thor/chatter/alias_goliath_TGoPss01__ea8216d194.wav,Checklist protocol initiated.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/thor/chatter/alias_goliath_TGoPss02__a5dc2ef296.wav,Running Level 1 Diagnostic.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/thor/chatter/alias_goliath_TGoPss03__476e1272b6.wav,USDA selected.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/thor/chatter/alias_goliath_TGoPss04__2fedd1a6b9.wav,FDIC approved.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/thor/chatter/alias_goliath_TGoPss05__303558e139.wav,Checklist completed. SOB.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/thor/death/alias_goliath_TGoDth00__7b21a9c75f.wav,Death voice 01,SC1/BW • DESCRIPTIVE NONVERBAL,DEATH VO
audio/classic/units/thor/move/alias_goliath_TGoRdy00__f4f8008c24.wav,Goliath Online,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/thor/move/alias_goliath_TGoWht00__e86a525394.wav,"Go ahead, TACOM.",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/thor/move/alias_goliath_TGoWht01__79abc573bf.wav,Comment online.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/thor/move/alias_goliath_TGoWht02__b8450d69ef.wav,Channel open.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/thor/move/alias_goliath_TGoWht03__7fb95ecf4b.wav,Systems functional.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/thor/move/alias_goliath_TGoYes00__804d9b9a5a.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/thor/move/alias_goliath_TGoYes01__5b274f891f.wav,Now comm locked.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/thor/move/alias_goliath_TGoYes02__08ea5cd4e1.wav,Confirmed.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/thor/move/alias_goliath_TGoYes03__653bd7ccca.wav,Target designated.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/chatter/PtrPss00__c98eba4fcc.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/trilobyte/chatter/PtrPss01__72e20c2236.wav,Annoyed / repeated selection 02,SC1/BW,PORTRAIT / VOICE
audio/classic/units/trilobyte/chatter/PtrPss02__c30c27770b.wav,Annoyed / repeated selection 03,SC1/BW,PORTRAIT / VOICE
audio/classic/units/trilobyte/death/ptrDth00__d741e066fc.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/trilobyte/move/PTrRdy00__67e548d5f7.wav,Ready / selection 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/move/PTrWht00__9823db70fb.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/move/PTrWht01__be539b7909.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/move/PTrWht02__3b46512b24.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/move/PTrWht03__d99b15ae0d.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/move/PTrYes00__31e378b94f.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/move/PTrYes01__9a72b46bbe.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/move/PTrYes02__495323bea6.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/trilobyte/move/PTrYes03__a85b7a8e8d.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/chatter/zulPss00__71dc2fccd0.wav,Ultralisk selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/ultralisk/chatter/zulPss01__5f356b89b5.wav,Ultralisk selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/ultralisk/chatter/zulPss02__d1dc29693c.wav,Ultralisk selection vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,PORTRAIT / VOICE
audio/classic/units/ultralisk/death/zulDth00__6b5f13254b.wav,Ultralisk death sound,SC1/BW • DESCRIPTIVE NONVERBAL,DEATH VO
audio/classic/units/ultralisk/move/zulRdy00__dc4c2b85c8.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/move/zulWht00__d3ff6cb6b6.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/move/zulWht01__9fa0808d75.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/move/zulWht02__4e009c8c2a.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/move/zulWht03__0d5d6b7c84.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/move/zulYes00__642e9facfa.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/move/zulYes01__403e872286.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/move/zulYes02__d46812811c.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/ultralisk/move/zulYes03__9a50c85597.wav,Ultralisk movement vocalization,SC1/BW • DESCRIPTIVE NONVERBAL,MOVE / ACTIVATE VO
audio/classic/units/viking/attack/alias_terran_phoenix_TPhYes01__4f86b035f2.wav,and attack formation.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/viking/attack/alias_terran_phoenix_TPhYes02__6aa36e5cc6.wav,Roger.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/viking/attack/alias_terran_phoenix_TPhYes03__6c9b796b77.wav,Vector locked in.,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/viking/chatter/alias_terran_phoenix_TPhPss00__41ae8032bf.wav,"Last transmission, breaking up, come back.",SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/viking/chatter/alias_terran_phoenix_TPhPss01__922a4444d6.wav,"I'm just curious, why am I so good?",SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/viking/chatter/alias_terran_phoenix_TPhPss02__3d0d055a82.wav,I gotta get me one of these.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/viking/chatter/alias_terran_phoenix_TPhPss03__2d51767e95.wav,you know who the best starfighter in the fleet is.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/viking/chatter/alias_terran_phoenix_TPhPss04__cdaf19ba66.wav,Yours truly.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/viking/chatter/alias_terran_phoenix_TPhPss05__825ab2f6c7.wav,"Everybody's gotta die sometime, Red.",SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/viking/chatter/alias_terran_phoenix_TPhPss06__4fe01496f6.wav,"I am invincible, that's right.",SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/viking/move/alias_terran_phoenix_TPhRdy00__cc2c9704b9.wav,Rate the waiting launch orders.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/viking/move/alias_terran_phoenix_TPhWht00__652889173a.wav,"Go ahead, command.",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/viking/move/alias_terran_phoenix_TPhWht01__30a9202ed4.wav,Transmit Coordinates.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/viking/move/alias_terran_phoenix_TPhWht02__a5f36e3700.wav,standing by.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/viking/move/alias_terran_phoenix_TPhWht03__55485fa393.wav,Report again.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/viking/move/alias_terran_phoenix_TPhYes00__1335d13cfb.wav,coordinates are seen.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/viking/move/alias_terran_phoenix_TPhYes01__4f86b035f2.wav,and attack formation.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/viking/move/alias_terran_phoenix_TPhYes02__6aa36e5cc6.wav,Roger.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/viking/move/alias_terran_phoenix_TPhYes03__6c9b796b77.wav,Vector locked in.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/void_ray/attack/alias_arbiter_pabYes00__01aeebc63b.wav,Attack voice 01,SC1/BW,ATTACK VO
audio/classic/units/void_ray/attack/alias_arbiter_pabYes01__a874575c21.wav,Attack voice 02,SC1/BW,ATTACK VO
audio/classic/units/void_ray/attack/alias_arbiter_pabYes02__c1e6e2e4c0.wav,Attack voice 03,SC1/BW,ATTACK VO
audio/classic/units/void_ray/chatter/alias_arbiter_pabPss00__3a87a25641.wav,We sense a sore in search of answers.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/void_ray/chatter/alias_arbiter_pabPss01__e608bab11a.wav,Do you seek knowledge of time travel?,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/void_ray/chatter/alias_arbiter_pabPss02__ef3dbc7e79.wav,We'll take that as a yes.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/void_ray/chatter/alias_arbiter_pabPss03__7b72d687fa.wav,And now for your first lesson.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/void_ray/chatter/alias_arbiter_pabPss04__2df8693246.wav,Annoyed / repeated selection 05,SC1/BW,PORTRAIT / VOICE
audio/classic/units/void_ray/move/alias_arbiter_pabRdy00__3b458a97a0.wav,Warfield Stabilized,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/void_ray/move/alias_arbiter_pabWht00__846a0ca39a.wav,We feel your presence.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/void_ray/move/alias_arbiter_pabWht01__c518a18c8c.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/void_ray/move/alias_arbiter_pabWht02__a06121fb08.wav,Selection response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/void_ray/move/alias_arbiter_pabWht03__a566c8b0d3.wav,We are vigilant.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/void_ray/move/alias_arbiter_pabYes00__01aeebc63b.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/void_ray/move/alias_arbiter_pabYes01__a874575c21.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/void_ray/move/alias_arbiter_pabYes02__c1e6e2e4c0.wav,Move / order response 03,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/vulture/chatter/tvupss00__5b047123eb.wav,Something you wanted!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/vulture/chatter/tvupss01__0438ee2879.wav,I don't have time to f*** around!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/vulture/chatter/tvupss02__3e4e734a41.wav,You keep pushing me boy!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/vulture/chatter/tvupss03__50dec351ff.wav,And I'll scrap you along with the aliens!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/vulture/death/TVuDth00__ebbe9f601a.wav,Death voice 01,SC1/BW • DESCRIPTIVE NONVERBAL,DEATH VO
audio/classic/units/vulture/move/TVuWht00__2a8d46b65c.wav,What do you want?,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/vulture/move/tvurdy00__1e8040dfb1.wav,"All right, bring it on",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/vulture/move/tvuwht01__c533b7c835.wav,Yeah?,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/vulture/move/tvuwht02__d86d65c703.wav,"I'll read you, sir.",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/vulture/move/tvuwht03__4b61c942cc.wav,Something on your mind?,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/vulture/move/tvuyes00__77980ed04f.wav,"Yeah, I'm goin'!",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/vulture/move/tvuyes01__86c00db3d2.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/vulture/move/tvuyes02__df21b87536.wav,No problem.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/vulture/move/tvuyes03__e95157ff3b.wav,"Oh, is that it?",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/witness_iv/chatter/pwiPss00__c1102d11cb.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/witness_iv/chatter/pwiPss01__145f4e4524.wav,Annoyed / repeated selection 02,SC1/BW,PORTRAIT / VOICE
audio/classic/units/witness_iv/chatter/pwiPss02__f7f11b293b.wav,Annoyed / repeated selection 03,SC1/BW,PORTRAIT / VOICE
audio/classic/units/witness_iv/chatter/pwiPss03__abe4d304a6.wav,Annoyed / repeated selection 04,SC1/BW,PORTRAIT / VOICE
audio/classic/units/witness_iv/chatter/pwiPss04__01c271315d.wav,Annoyed / repeated selection 05,SC1/BW,PORTRAIT / VOICE
audio/classic/units/witness_iv/death/PWiDth00__222abdb122.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/witness_iv/death/pwiDth01__5cbfabbb48.wav,Death voice 02,SC1/BW,DEATH VO
audio/classic/units/witness_iv/move/PWiRdy00__67962e207a.wav,Ready / selection 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/witness_iv/move/pwiWht00__ab6d932cc7.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/witness_iv/move/pwiWht01__7cb6dd7a91.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/witness_iv/move/pwiYes00__40ea4a6f12.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/witness_iv/move/pwiYes01__8148a8918f.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zealot/attack/alias_zealot_PZeYes00__ca7107a567.wav,Attack voice 01,SC1/BW,ATTACK VO
audio/classic/units/zealot/attack/alias_zealot_PZeYes01__897087a435.wav,Attack voice 02,SC1/BW,ATTACK VO
audio/classic/units/zealot/attack/alias_zealot_PZeYes02__cae9e6f748.wav,Honor died me!,SC1/BW • VERIFIED DIALOGUE,ATTACK VO
audio/classic/units/zealot/chatter/PZePss00__4625e98bd4.wav,Annoyed / repeated selection 01,SC1/BW,PORTRAIT / VOICE
audio/classic/units/zealot/chatter/PZePss01__c759f2caf7.wav,ALL FOR THE EMPIRE!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/zealot/chatter/PZePss02__5e4d9511dd.wav,Doom to all who threaten the whole world!,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/zealot/death/pzeDth00__43fe7cab0a.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/zealot/move/PZeWht00__8581bdddcc.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zealot/move/PZeWht01__530dc72095.wav,Selection response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zealot/move/PZeWht02__2afbaa1795.wav,I long for combat.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/zealot/move/PZeWht03__999ef593c4.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zealot/move/PZeYes00__ca7107a567.wav,Move / order response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zealot/move/PZeYes01__897087a435.wav,Move / order response 02,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zealot/move/PZeYes02__cae9e6f748.wav,Honor died me!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/zealot/move/PZeYes03__33b60ef1ac.wav,Move / order response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zealot/move/pzeRdy00__0638a00d47.wav,My life for ire!,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/zeratul/chatter/UZePss00__25113822db.wav,You have persecuted us for generations.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/zeratul/chatter/UZePss01__1425b69f42.wav,And now you beg us to aid you?,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/zeratul/chatter/UZePss02__6ca3aaaa9c.wav,We will do what we must.,SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/zeratul/chatter/UZePss03__e759a29330.wav,"But we do it for IEL, not you.",SC1/BW • VERIFIED DIALOGUE,PORTRAIT / VOICE
audio/classic/units/zeratul/death/UZeDth00__7a5545dba5.wav,Death voice 01,SC1/BW,DEATH VO
audio/classic/units/zeratul/move/UZeWht00__1206c5a552.wav,Selection response 01,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zeratul/move/UZeWht01__0d191aac7c.wav,You address me.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/zeratul/move/UZeWht02__57de8c0527.wav,"Your orders, Templar.",SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/zeratul/move/UZeWht03__c86aa04834.wav,Selection response 04,SC1/BW,MOVE / ACTIVATE VO
audio/classic/units/zeratul/move/UZeYes00__951eb1b956.wav,I do this for ire.,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
audio/classic/units/zeratul/move/UZeYes01__7c4c6cd1db.wav,So weird,SC1/BW • VERIFIED DIALOGUE,MOVE / ACTIVATE VO
